Episode,Season,Title,Location,Speaker,Context,Text
1,1,The Cage,pike's cage,Magistrate,,"This is no surprise since his vessel was baited here so easily with a simulated message. As you can read in its thoughts, it is only now beginning to suspect that the survivors and encampment were a simple illusion we placed in their minds."
1,1,The Cage,pike's cage,Pike,,"You're not speaking, yet I can hear you."
1,1,The Cage,pike's cage,Magistrate,,You will note the confusion as it reads our thought transmissions.
1,1,The Cage,pike's cage,Pike,,"All right then, telepathy. You can read my mind. I can read yours. Now, unless you want my ship to consider capturing me an unfriendly act"
1,1,The Cage,pike's cage,Magistrate,,"You now see the primitive fear threat reaction. The specimen is about to boast of his strength, the weaponry of his vessel, and so on. Next, frustrated into a need to display physical prowess, the creature will throw himself against the transparency."
1,1,The Cage,pike's cage,Pike,,"If you were in here, wouldn't you test the strength of these walls, too? There's a way out of any cage, and I'll find it."
1,1,The Cage,pike's cage,Magistrate,,"Despite its frustration, the creature appears more adaptable than our specimens from other planets. We can soon begin the experiment."
1,1,The Cage,briefing room,Spock,,"The inhabitants of this planet must live deep underground, and probably manufacture food and other needs down there. Our tests indicate the planet surface, without considerably more vegetation or some animals, simply too barren to support life."
1,1,The Cage,briefing room,One,,"So we just thought we saw survivors there, Mister Spock."
1,1,The Cage,briefing room,Spock,,Exactly. An illusion placed in our minds by this planet's inhabitants.
1,1,The Cage,briefing room,Boyce,,"It was a perfect illusion. They had us seeing just what we wanted to see, human beings who'd survived with dignity and bravery, everything entirely logical, right down to the building of the camp, the tattered clothing, everything. Now let's be sure we understand the danger of this. The inhabitants of this planet can read our minds. They can create illusions out of a person's own thoughts, memories, and experiences, even out of a person's own desires. Illusions just as real and solid as this table top and just as impossible to ignore."
1,1,The Cage,briefing room,One,,Any estimate what they might want one of us for?
1,1,The Cage,briefing room,Spock,,"They may simply be studying the Captain, to find out how Earth people are put together. Or it could be something more."
1,1,The Cage,briefing room,Tyler,,"Then why aren't we doing anything? That entry may have stood up against hand lasers, but we can transmit the ship's power against it. Enough to blast half a continent."
1,1,The Cage,briefing room,Spock,,"Look. Brains three times the size of ours. If we start buzzing about down there, we're liable to find their mental power is so great they could reach out and swat this ship as though it were a fly."
1,1,The Cage,briefing room,Tyler,,"It's Captain Pike they've got. He needs help, and he probably needs it fast."
1,1,The Cage,briefing room,One,,Engineering deck will rig to transmit ship's power. We'll try blasting through that metal.
1,1,The Cage,talosian monitoring room,,As Pike continues to explore his cell,
1,1,The Cage,talosian monitoring room,Talosian,,"Thousands of us are already probing the creature's thoughts, Magistrate. We find excellent memory capacity."
1,1,The Cage,talosian monitoring room,Magistrate,,"I read most strongly a recent death struggle in which it fought to protect its life. We will begin with this, giving the specimen something more interesting to protect."
1,1,The Cage,rigel seven,Vina,,"Come on, we must hide ourselves. Come, come. Hurry. It's deserted. There'll be weapons and perhaps food."
1,1,The Cage,rigel seven,Pike,,This is Rigel Seven.
1,1,The Cage,rigel seven,Vina,,"Please, we must hide ourselves."
1,1,The Cage,rigel seven,Pike,,"I was in a cage, a cell, in some kind of a zoo. I must still be there."
1,1,The Cage,rigel seven,Vina,,Come on.
1,1,The Cage,rigel seven,Pike,,They've reached into my mind and taken the memory of somewhere I've been.
1,1,The Cage,rigel seven,Vina,,The killer!
1,1,The Cage,rigel seven,Pike,,It's starting just as it happened two weeks ago. Except for you.
1,1,The Cage,fortress,,The courtyard is scattered with lances and spears,
1,1,The Cage,fortress,Pike,,"Longer hair, different dress, but it is you, the one the survivors called Vina. Or rather the image of Vina. But why you again? Why didn't they create a different girl?"
1,1,The Cage,fortress,,The killer enters - a big humanoid with shield and axe,
1,1,The Cage,fortress,Vina,,Quick. If you attack while it's not looking.
1,1,The Cage,fortress,Pike,,But it's only a dream.
1,1,The Cage,fortress,Vina,,You have to kill him as you did here before.
1,1,The Cage,fortress,Pike,,You can tell my jailers I won't go along with it. I'm not an animal performing for its supper.
1,1,The Cage,fortress,Vina,,"It doesn't matter what you call this, you'll feel it. That's what matters. You'll feel every moment of whatever happens to you. Please, don't you know what he'll do to us?"
1,1,The Cage,fortress,,so Pike fights the killer with mace and shield,
1,1,The Cage,fortress,Pike,,Why would an illusion be frightened?
1,1,The Cage,fortress,Vina,,Because that's the way you imagined me.
1,1,The Cage,fortress,Pike,,Who are you? You act as if this were really you.
1,1,The Cage,fortress,Vina,,Careful.
1,1,The Cage,fortress,,Pike and Vina retreat up some stairs. The killer breaks Pike's spear and they throw objects at it. Pike gets knocked down into the courtyard. The killer grabs Vina and Pike throws a spear into it's back. Then it jumps down and spears itself on a wicked harpoon that Pike grabs just in time,
1,1,The Cage,pike's cell,Vina,,It's over.
1,1,The Cage,pike's cell,,"Vina hugs her hero, then sees the Talosians watching them. The Talosians leave.",
1,1,The Cage,pike's cell,Pike,,Why are you here?
1,1,The Cage,pike's cell,Vina,,To please you.
1,1,The Cage,pike's cell,Pike,,Are you real?
1,1,The Cage,pike's cell,Vina,,As real as you wish.
1,1,The Cage,pike's cell,Pike,,"No, no. No, that's not an answer. I've never met you before, never even imagined you."
1,1,The Cage,pike's cell,Vina,,Perhaps they made me out of dreams you've forgotten.
1,1,The Cage,pike's cell,Pike,,"What, and dress you in the same metal fabric they wear?"
1,1,The Cage,pike's cell,Vina,,"I have to wear something, don't I? I can wear whatever you wish, be anything you wish."
1,1,The Cage,pike's cell,Pike,,"So they can see how their specimen performs? They want to see how I react, is that it?"
1,1,The Cage,pike's cell,Vina,,"Don't you have a dream, something you've always wanted very badly?"
1,1,The Cage,pike's cell,Pike,,"Or do they do more than just watch me? Do they feel with me, too?"
1,1,The Cage,pike's cell,Vina,,"You can have whatever dream you want. I can become anything, any woman you've ever imagined. You can have anything you want in the whole universe. Let me please you."
1,1,The Cage,pike's cell,Pike,,"Yes. Yes, you can please me. You can tell me about them. Is there any way I can keep them from probing my mind, from using my thoughts against me? Does that frighten you? Does that mean there is a way?"
1,1,The Cage,pike's cell,Vina,,You're a fool.
1,1,The Cage,pike's cell,Pike,,"Since you're not real, there's not much point in continuing this conversation, is there."
1,1,The Cage,planet surface,,A big laser cannon is aimed at the door in the rock,
1,1,The Cage,planet surface,One,,"All circuits engaged, Mister Spock."
1,1,The Cage,planet surface,Spock,,"Standing by, Number One."
1,1,The Cage,planet surface,One,,Take cover.
1,1,The Cage,planet surface,Spock,,"Ten, nine, eight, seven, six, five, four, three, two, one."
1,1,The Cage,planet surface,,The laser cannon blasts away,
1,1,The Cage,planet surface,One,,Increase to full power! Can you give us any more?
1,1,The Cage,planet surface,Spock,,Our circuits are beginning to heat. We'll have to cease power.
1,1,The Cage,planet surface,One,,Disengage. The top of that knoll should have been sheared off the first second.
1,1,The Cage,planet surface,Boyce,,"Maybe it was. It's what I tried to explain in the briefing room. Their power of illusion is so great, we can't be sure of anything we do, anything we see."
1,1,The Cage,pike's cell,Vina,,"Perhaps if you asked me some questions, I could answer."
1,1,The Cage,pike's cell,Pike,,How far can they control my mind?
1,1,The Cage,pike's cell,Vina,,"If I tell you, then will you pick some dream you've had and let me live it with you?"
1,1,The Cage,pike's cell,Pike,,Perhaps.
1,1,The Cage,pike's cell,Vina,,They can't actually make you do anything you don't want to do.
1,1,The Cage,pike's cell,Pike,,But they try to trick me with their illusions.
1,1,The Cage,pike's cell,Vina,,"And, they can punish you when you're not co-operative. You'll find out about that."
1,1,The Cage,pike's cell,Pike,,Did they ever live on the surface of this planet? Why did they go underground?
1,1,The Cage,pike's cell,Vina,,"War, thousands of centuries ago."
1,1,The Cage,pike's cell,Pike,,That's why it's so barren up there?
1,1,The Cage,pike's cell,Narrator,,VINA; The planet's only now becoming able to support life again.
1,1,The Cage,pike's cell,Pike,,So the Talosians who came underground found life limited here and they concentrated on developing their mental power.
1,1,The Cage,pike's cell,Vina,,"But they found it's a trap. Like a narcotic. Because when dreams become more important than reality, you give up travel, building, creating. You even forget how to repair the machines left behind by your ancestors. You just sit, living and reliving other lives left behind in the thought record."
1,1,The Cage,pike's cell,Pike,,Or sit probing minds of zoo specimens like me.
1,1,The Cage,pike's cell,Vina,,"You're better than a theatre to them. They create the illusion for you, they watch you react, feel your emotions. They have a whole collection of specimens, descendants of life brought back long ago from all over this part of the galaxy."
1,1,The Cage,pike's cell,Pike,,Which means they had to have more than one of each animal.
1,1,The Cage,pike's cell,Vina,,Please.
1,1,The Cage,pike's cell,Pike,,They'll need a pair of humans too. Where do they get intend to get the Earth woman?
1,1,The Cage,pike's cell,Vina,,You said that if I answered questions
1,1,The Cage,pike's cell,Pike,,"But that was a bargain with something that didn't exist. You said you weren't real, remember?"
1,1,The Cage,pike's cell,Vina,,I'm a woman as real and as human as you are. We're like Adam and Eve. If we. Don't. Please don't punish me! (disappears)
1,1,The Cage,pike's cell,,Pike sees the Magistrate walk away,
1,1,The Cage,pike's cell,,Pike continues to search the walls for a door when a hatch opens and a glass is placed on the floor,
1,1,The Cage,pike's cell,Magistrate,,The vial contains a nourishing protein complex.
1,1,The Cage,pike's cell,Pike,,Is the keeper actually communicating with one of his animals?
1,1,The Cage,pike's cell,Magistrate,,"If the form and the colour is not appealing, it can appear as any food you wish to visualise."
1,1,The Cage,pike's cell,Pike,,And if I prefer
1,1,The Cage,pike's cell,Magistrate,,To starve? You overlook the unpleasant alternative of punishment.
1,1,The Cage,pike's cell,,"Pike is surrounded by fire and brimstone, screaming in pain",
1,1,The Cage,pike's cell,Magistrate,,From a fable you once heard in childhood. You will now consume the nourishment.
1,1,The Cage,pike's cell,Pike,,"Why not just put irresistible hunger in my mind? Because you can't, can you? You do have limitations, don't you?"
1,1,The Cage,pike's cell,Magistrate,,"If you continue to disobey, from deeper in your mind, there are things even more unpleasant."
1,1,The Cage,pike's cell,,Pike drinks the nourishment then launches himself at the glass wall. The Magistrate steps back in surprise,
1,1,The Cage,pike's cell,Pike,,That's very interesting.
1,1,The Cage,pike's cell,Magistrate,,Now to the female.
1,1,The Cage,pike's cell,Pike,,You were startled. Weren't you reading my mind then?
1,1,The Cage,pike's cell,Magistrate,,"As you've conjectured, an Earth vessel did crash on our planet, but with only a single survivor."
1,1,The Cage,pike's cell,Pike,,"No, let's stay on the first subject. All I wanted for that moment was to get my hands around your neck."
1,1,The Cage,pike's cell,Magistrate,,We repaired the survivor's injuries and found the species interesting.
1,1,The Cage,pike's cell,Pike,,Do primitive thoughts put up a block you can't read through?
1,1,The Cage,pike's cell,Magistrate,,It became necessary to attract a mate.
1,1,The Cage,pike's cell,Pike,,"All right, all right, let's talk about the girl. You seem to be going out of your way to make her attractive, to make me feel protective."
1,1,The Cage,pike's cell,Magistrate,,This is necessary in order to perpetuate the species.
1,1,The Cage,pike's cell,Pike,,It seems more important to you now that I begin to accept her and like her.
1,1,The Cage,pike's cell,Magistrate,,We wish our specimens to be happy in their new life.
1,1,The Cage,pike's cell,Pike,,"Assuming that's a lie, why would you want me attracted to her? So I'll feel love in a husband-wife relationship? That would be necessary only if you intend to build a family group or perhaps a whole human community."
1,1,The Cage,pike's cell,Magistrate,,With the female now properly conditioned.
1,1,The Cage,pike's cell,Pike,,You mean properly punished! I'm the one who's not co-operating! Why don't you punish me?
1,1,The Cage,pike's cell,Magistrate,,"First, an emotion of protectiveness. Now one of sympathy. Excellent."
1,1,The Cage,woodland glade,,"A picnic spread on a tartan rug, two horses standing by, a futuristic city in the distance",
1,1,The Cage,woodland glade,Vina,,"You want some coffee, dear? I left the thermos hooked to my saddle."
1,1,The Cage,woodland glade,Pike,,"Tango! You old devil, you. I'm sorry I don't have any sugar. Well, they think of everything, don't they? (feeds lumps to the horse)"
1,1,The Cage,woodland glade,Vina,,"Hey, your coffee. Is it good to be home?"
1,1,The Cage,woodland glade,Pike,,"They read our minds very well. Home, anything else I want, if I co-operate, is that it?"
1,1,The Cage,woodland glade,Vina,,"Have you forgotten my headaches, darling? I get them when you talk strangely like this."
1,1,The Cage,woodland glade,Pike,,"Look, I'm sorry they punish you, but we can't let them"
1,1,The Cage,woodland glade,Vina,,"My, it turned out to be a lovely day, didn't it?"
1,1,The Cage,woodland glade,Pike,,"It's funny. It's about twenty four hours ago I was telling the ship's doctor how much I wanted something else not very different from what we have here. An escape from reality. Life with no frustrations. No responsibilities. Now that I have it, I understand the doctor's answer."
1,1,The Cage,woodland glade,Vina,,I hope you're hungry. These little white sandwiches are your mother's recipe for chicken tuna.
1,1,The Cage,woodland glade,Pike,,"You either live life, bruises, skinned knees and all, or you turn your back on it and start dying. The doctor's going to be happy about one part, at least. He said I needed a rest."
1,1,The Cage,woodland glade,Vina,,This is a lovely place to rest.
1,1,The Cage,woodland glade,Pike,,"I used to ride through here when I was a kid. It's not as pretty as some of the parkland around the big cities, but. That's Mojave. That's where I was born."
1,1,The Cage,woodland glade,Vina,,Is that supposed to be news to your wife? You're home. You can even stay if you want. Wouldn't it be nice showing your children where you once played?
1,1,The Cage,woodland glade,Pike,,"These headaches, they'll be hereditary you know. Would you wish them on a child or a whole group of children?"
1,1,The Cage,woodland glade,Vina,,Foolish.
1,1,The Cage,woodland glade,Pike,,"Is it? Look, first they made me protect you and then feel sympathy for you. Now we have these familiar surroundings and a comfortable husband-wife relationship. They don't need all this for just passion. What they're after is respect and mutual dependence."
1,1,The Cage,woodland glade,Vina,,They say in the olden days all this was a desert. Blowing sand and cactus.
1,1,The Cage,woodland glade,Pike,,"But we're not here, neither of us. We're in a menagerie, a cage!"
1,1,The Cage,woodland glade,Vina,,No.
1,1,The Cage,woodland glade,Narrator,,"PIKE; I can't help either one of us if you won't give me a chance. Now, you told me once they used illusions as a narcotic. They couldn't repair the machines left by their ancestors. Is that why they want us, to build a colony of slaves?"
1,1,The Cage,woodland glade,Vina,,Stop it. Don't you care what they'll do to us?
1,1,The Cage,woodland glade,Pike,,"Back in my cage, it seemed for a couple of minutes that our keeper couldn't read my thoughts. Do emotions like hate, keeping hate in your mind, does that block off our mind from them?"
1,1,The Cage,woodland glade,Vina,,"Yes. They can't read through primitive emotions. But you can't keep it up for long enough. I've tried. They keep at you and at you year after year, tricking and punishing, and they won. They own me. I know you must hate me for that."
1,1,The Cage,woodland glade,Pike,,"Oh, no. I don't hate you. I can guess what it was like."
1,1,The Cage,woodland glade,Vina,,"But that's not enough. Don't you see? They read my thoughts, my feelings, my dreams of what would be a perfect man. That's why they picked you. I can't help but love you and they expect you to feel the same way."
1,1,The Cage,woodland glade,Pike,,"If they can read my mind, then they know I'm attracted to you."
1,1,The Cage,talosian monitoring room,Pike,,I was from the very first moment I saw you in the survivor's camp.
1,1,The Cage,talosian monitoring room,Talosian,,A curious species. They have fantasies they hide even from themselves.
1,1,The Cage,talosian monitoring room,Vina,,"I'm beginning to see why none of this has worked for you. You've been home, and fighting as on Rigel. That's not new to you, either. A person's strongest dreams are about what he can't do. Yes, a ship's captain, always having to be so formal, so decent and honest and proper. You must wonder what it would be like to forget all that."
1,1,The Cage,open air party,,"A band plays, and a green woman dances sensuously",
1,1,The Cage,open air party,Officer,,"Nice place you have here, Mister Pike."
1,1,The Cage,open air party,,The dancer is -,
1,1,The Cage,open air party,Pike,,Vina? ORION: Glistening green. Almost like secret dreams a bored ship captain might have.
1,1,The Cage,open air party,Officer,,"Funny how they are on this planet. They actually like being taken advantage of. Suppose you had all of space to choose from, and this was only one small sample."
1,1,The Cage,open air party,Orion,,Wouldn't you say it was worth a man's soul?
1,1,The Cage,open air party,,"Pike gets up and leaves. The door he walks through turns into a rock wall. Then Vina is there, holding a blazing torch",
1,1,The Cage,transporter room,Spock,,We've located a magnetic field that seems to come from their underground generator.
1,1,The Cage,transporter room,Garison,,Could that be an illusion too?
1,1,The Cage,transporter room,One,,"Now, you all know the situation. We're hoping to transport down inside the Talosian community."
1,1,The Cage,transporter room,Spock,,"If our measurements and readings are an illusion also, one could find oneself materialised inside solid rock."
1,1,The Cage,transporter room,One,,Nothing will be said if any volunteer wants to back out.
1,1,The Cage,transporter room,,Pitcairn energises but only Number One and Yeoman Colt dematerialise,
1,1,The Cage,transporter room,Spock,,The women!
1,1,The Cage,pike's cage,One,,Captain! Captain.
1,1,The Cage,pike's cage,Vina,,No! Let me finish!
1,1,The Cage,pike's cage,One,,But we were a party of six.
1,1,The Cage,pike's cage,Colt,,We were the only ones transported.
1,1,The Cage,pike's cage,Vina,,It's not fair. You don't need them.
1,1,The Cage,pike's cage,Pike,grabbing Colt's laser pistol,They don't work.
1,1,The Cage,pike's cage,One,,They were fully charged when we left. It's dead. (communicator) I can't make a signal. What is it?
1,1,The Cage,pike's cage,Pike,,"Don't say anything. I'm filling my mind with a picture of beating their huge, misshapen heads to pulp, thoughts so primitive they black out everything else. I'm filling my mind with hate."
1,1,The Cage,pike's cage,Vina,,"How long can you block your thoughts? A few minutes, an hour? How can that help?"
1,1,The Cage,pike's cage,Colt,,Leave him alone.
1,1,The Cage,pike's cage,Vina,,He doesn't need you. He's already picked me.
1,1,The Cage,pike's cage,Colt,,Picked her? For what? I don't understand.
1,1,The Cage,pike's cage,Vina,,"Now, there's a fine choice for intelligent offspring."
1,1,The Cage,pike's cage,Colt,,"Offspring, as in children?"
1,1,The Cage,pike's cage,One,,Offspring as in he's Adam. Is that it?
1,1,The Cage,pike's cage,Vina,,You're no better choice. They'd have more luck crossing him with a computer.
1,1,The Cage,pike's cage,One,,"Well, shall we do a little time computation? There was a Vina listed on that expedition as an adult crewman. Now, adding eighteen years to your age then."
1,1,The Cage,pike's cage,,The Magistrate approaches the cell,
1,1,The Cage,pike's cage,Vina,,It's not fair. I did what you asked.
1,1,The Cage,pike's cage,Magistrate,,"Since you resist the present specimen, you now have a selection."
